,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
Career,,0,,,,0,0,,,6-3,0,0,,,Jimmy Walker,,,0,,,,,jimmy-walker-3,,,QB,,,,,,,,,,,,0.0,,Career,1,0.0,San Diego State,1,,,220,,,,0,,
Career,7.3,0,535,0,0,0,0,,,5-11,0,0,16,0,Dru Brown,,854,0,62.6,44,6083,7.1,dru-brown-1,169,42,QB,0,135.7,0,0,,0,169,7,319,1.9,7,0.0,,Career,1,0.0,Overall,1,7,,200,319,1.9,,0,,
Career,5.0,0,338,0,0,0,0,,,6-1,0,0,28,0,Ikaika Woolsey,,684,0,49.4,24,4233,6.2,ikaika-woolsey-1,204,24,QB,0,104.8,0,2,2.0,1,203,4,382,1.9,4,0.0,,Career,3,0.0,Hawaii,3,4,,215,384,1.9,,0,,
Career,-1.3,,3.0,,,,,,,6-3,,,1.0,,Aaron Zwahlen,,10.0,,30.0,0.0,32.0,3.2,aaron-zwahlen-1,2,,QB,,36.9,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0,,,Career,,,Hawaii,,,,210,0,0.0,,,,
Career,6.6,1,317,0,0,0,0,,,6-4,0,0,12,0,Tyler Stewart,,537,0,59.0,27,3550,6.6,tyler-stewart-1,158,36,QB,0,126.7,0,-5,,0,158,6,437,2.8,6,0.0,,Career,0,0.0,Nevada,1,6,,220,432,2.7,,0,,
Career,7.2,1,595,0,0,0,0,,,6-2,0,0,30,0,Ty Gangi,,989,0,60.2,56,7378,7.5,ty-gangi-1,153,62,QB,0,135.4,0,0,,0,153,10,543,3.5,10,0.0,,Career,2,0.0,Nevada,3,10,1.0,212,543,3.5,,0,,
Career,6.4,4,106,0,0,0,0,,,6-2,1,0,8,0,Johnny Stanton,,196,2,54.1,10,1406,7.2,johnny-stanton-1,77,18,QB,0,123.0,0,0,,0,77,3,327,4.2,3,0.0,,Career,7,0.0,Overall,11,3,,245,327,4.2,,0,0.0,
Career,5.1,,132,0,0,,,,,6-2,,,9,0,Kurt Palandech,,268,,49.3,14,1489,5.6,kurt-palandech-1,146,56,QB,0,106.4,0,0,,0,146,9,728,5.0,9,,,Career,,,UNLV,,9,1.0,185,728,5.0,,,,
Career,7.3,0.0,39.0,0.0,0.0,0.0,0.0,,,6-0,0.0,0.0,2.0,0.0,Dalton Sneed,,88.0,0.0,44.3,5.0,632.0,7.2,dalton-sneed-1,58,6,QB,0.0,118.9,0.0,10.0,10.0,1.0,57.0,1.0,348.0,6.1,1,0.0,,Career,1.0,0.0,UNLV,1.0,1,,195,358,6.2,,0.0,,
Career,7.1,0,365,0,0,0,0,,,6-2,0,0,17,0,Kenny Potter,,577,0,63.3,31,4257,7.4,kenny-potter-1,250,88,QB,0,137.1,0,0,,0,250,14,737,2.9,14,0.0,,Career,1,0.0,San Jose State,1,14,2.0,208,737,2.9,,0,,
