,quarterbacks
454,"['2002', 'derrick-vickers-1']"
455,"['2002', 'kent-smith-1']"
456,"['2002', 'derek-gorney-1']"
457,"['2002', 'grant-arnoldink-1']"
458,"['2002', 'troy-edwards-1']"
459,"['2002', 'jeff-crooks-1']"
460,"['2002', 'chinedu-okoro-1']"
461,"['2002', 'bradlee-van-pelt-1']"
462,"['2002', 'justin-holland-1']"
463,"['2002', 'casey-kelly-1']"
464,"['2002', 'justin-millea-1']"
465,"['2002', 'kole-mckamey-1']"
466,"['2002', 'chance-harridge-1']"
467,"['2002', 'brad-baca-1']"
468,"['2002', 'adam-hall-1']"
469,"['2002', 'lon-sheriff-1']"
470,"['2002', 'jason-thomas-1']"
471,"['2002', 'kurt-nantkes-1']"
472,"['2002', 'brett-elliott-1']"
473,"['2002', 'lance-rice-1']"
474,"['2002', 'alex-smith-3']"
475,"['2002', 'bret-engemann-1']"
476,"['2002', 'matt-berry-1']"
477,"['2002', 'todd-mortensen-1']"
478,"['2002', 'casey-bramlet-1']"
479,"['2002', 'corey-bramlet-1']"
480,"['2002', 'carson-palmer-1']"
481,"['2002', 'matt-cassel-1']"
482,"['2002', 'jason-gesser-1']"
483,"['2002', 'matt-kegel-1']"
484,"['2002', 'chris-hurd-2']"
485,"['2002', 'andrew-walter-1']"
486,"['2002', 'chad-christensen-1']"
487,"['2002', 'andy-goodenough-1']"
488,"['2002', 'derek-anderson-1']"
489,"['2002', 'adam-rothenfluh-1']"
490,"['2002', 'drew-olson-1']"
491,"['2002', 'cory-paus-1']"
492,"['2002', 'matt-moore-1']"
493,"['2002', 'john-sciarra-1']"
494,"['2002', 'kyle-boller-1']"
495,"['2002', 'reggie-robertson-1']"
496,"['2002', 'cody-pickett-1']"
497,"['2002', 'taylor-barton-1']"
498,"['2002', 'jason-fife-1']"
499,"['2002', 'kellen-clemens-1']"
500,"['2002', 'scott-vossmeyer-1']"
501,"['2002', 'jason-johnson-2']"
502,"['2002', 'nic-costa-1']"
503,"['2002', 'chris-lewis-1']"
504,"['2002', 'kyle-matter-1']"
505,"['2002', 'ryan-eklund-1']"
506,"['2002', 'david-greene-1']"
507,"['2002', 'dj-shockley-1']"
508,"['2002', 'cory-phillips-1']"
509,"['2002', 'rex-grossman-1']"
510,"['2002', 'ingle-martin-1']"
511,"['2002', 'casey-clausen-1']"
512,"['2002', 'james-banks-1']"
513,"['2002', 'cj-leak-1']"
514,"['2002', 'jared-lorenzen-1']"
515,"['2002', 'shane-boyd-1']"
516,"['2002', 'dan-lumley-1']"
517,"['2002', 'corey-jenkins-1']"
518,"['2002', 'dondrial-pinkins-1']"
519,"['2002', 'erik-kimrey-1']"
520,"['2002', 'jay-cutler-1']"
521,"['2002', 'benji-walker-1']"
522,"['2002', 'tyler-watts-1']"
523,"['2002', 'brodie-croyle-1']"
524,"['2002', 'spencer-pennington-1']"
525,"['2002', 'matt-jones-1']"
526,"['2002', 'tarvaris-jackson-1']"
527,"['2002', 'ryan-sorahan-1']"
528,"['2002', 'dowell-loggains-1']"
529,"['2002', 'daniel-cobb-1']"
530,"['2002', 'jason-campbell-1']"
531,"['2002', 'matt-mauck-1']"
532,"['2002', 'marcus-randall-1']"
533,"['2002', 'rick-clausen-1']"
534,"['2002', 'eli-manning-1']"
535,"['2002', 'david-morris-1']"
536,"['2002', 'chad-pilcher-1']"
537,"['2002', 'kevin-fant-1']"
538,"['2002', 'kyle-york-1']"
539,"['2002', 'andrew-smith-3']"
540,"['2002', 'scott-hall-1']"
541,"['2002', 'buck-pierce-1']"
542,"['2002', 'carl-scaffidi-1']"
543,"['2002', 'elliot-jacobs-1']"
544,"['2002', 'josh-driscoll-1']"
545,"['2002', 'tommy-miller-1']"
546,"['2002', 'andrico-hines-1']"
547,"['2002', 'andre-green-1']"
548,"['2002', 'josh-harris-1']"
549,"['2002', 'steven-jyles-1']"
550,"['2002', 'daniel-daprato-1']"
551,"['2002', 'kjell-nesen-1']"
552,"['2002', 'brian-lindgren-1']"
553,"['2002', 'adam-mallette-1']"
554,"['2002', 'michael-harrington-1']"
555,"['2002', 'ryan-dinwiddie-1']"
556,"['2002', 'bj-rhode-1']"
557,"['2002', 'michael-sanford-1']"
558,"['2002', 'timmy-chang-1']"
559,"['2002', 'shawn-withy-allen-1']"
560,"['2002', 'jason-whieldon-1']"
561,"['2002', 'paul-pinegar-1']"
562,"['2002', 'jeff-grady-1']"
563,"['2002', 'zack-threadgill-1']"
564,"['2002', 'jeff-rowe-1']"
565,"['2002', 'scott-rislov-1']"
566,"['2002', 'marcus-arroyo-1']"
567,"['2002', 'beau-pierce-1']"
568,"['2002', 'luke-mccown-1']"
569,"['2002', 'maxie-causey-1']"
570,"['2002', 'kyle-herm-1']"
571,"['2002', 'greg-henderson-1']"
572,"['2002', 'richard-bartel-1']"
573,"['2002', 'tate-wallis-1']"
574,"['2002', 'omar-duarte-1']"
575,"['2002', 'jon-schaper-1']"
576,"['2002', 'orlando-cruz-1']"
577,"['2002', 'tyler-gooch-1']"
578,"['2002', 'james-kilian-1']"
579,"['2003', 'chris-rix-1']"
580,"['2003', 'fabian-walker-1']"
581,"['2003', 'wyatt-sexton-1']"
582,"['2003', 'lorne-sam-1']"
583,"['2003', 'scott-mcbrien-1']"
584,"['2003', 'joel-statham-1']"
585,"['2003', 'orlando-evans-1']"
586,"['2003', 'charlie-whitehurst-1']"
587,"['2003', 'philip-rivers-1']"
588,"['2003', 'jay-davis-1']"
589,"['2003', 'matt-schaub-1']"
590,"['2003', 'anthony-martinez-2']"
591,"['2003', 'marques-hagans-1']"
592,"['2003', 'reggie-ball-1']"
593,"['2003', 'aj-suggs-1']"
594,"['2003', 'brian-camp-1']"
595,"['2003', 'cory-randolph-1']"
596,"['2003', 'zac-taylor-1']"
597,"['2003', 'mike-schneider-1']"
598,"['2003', 'adam-smith-1']"
599,"['2003', 'chris-dapolito-1']"
600,"['2003', 'darian-durant-1']"
601,"['2003', 'matt-baker-1']"
602,"['2003', 'cj-stephens-1']"
603,"['2003', 'ell-roberson-1']"
604,"['2003', 'jeff-schwinn-1']"
605,"['2003', 'dylan-meier-1']"
606,"['2003', 'jammal-lord-1']"
607,"['2003', 'brad-smith-1']"
608,"['2003', 'santino-riccio-1']"
609,"['2003', 'joel-klatt-1']"
610,"['2003', 'erik-greenberg-1']"
611,"['2003', 'james-cox-1']"
612,"['2003', 'bill-whittemore-1']"
613,"['2003', 'adam-barmann-1']"
614,"['2003', 'brian-luke-1']"
615,"['2003', 'john-nielsen-1']"
616,"['2003', 'waye-terry-1']"
617,"['2003', 'cris-love-1']"
618,"['2003', 'jason-white-1']"
619,"['2003', 'paul-thompson-1']"
620,"['2003', 'vince-young-1']"
621,"['2003', 'chance-mock-1']"
622,"['2003', 'matt-nordgren-1']"
623,"['2003', 'josh-fields-1']"
624,"['2003', 'jamie-beeghley-1']"
625,"['2003', 'bj-symons-1']"
626,"['2003', 'sonny-cumbie-1']"
